Raster,Red,Green,Blue,NIR,FC,c_depth,CH,vol_cd,VOL_CH,BNDVI,GBNDVI,GNDVI,NDVI,NDVIf,EVI,EVI2,SAVI,OSAVI,TSAVIm,TSAVIg,MSR,SR,LAI
RIP_180805_1044_0032,0.040712465,0.052411618,0.03677193,0.437590942,0.461805556,0.860574341,1.372353345,1.430704842,2.281537436,0.844962867,0.66139762,0.786076146,0.829763015,0.544647504,0.705648921,0.64625522,0.608520538,0.62177089,5.869197974,2.670573834,2.844081989,10.74832839,3.58
RIP_180805_1044_0033,0.041551041,0.052043573,0.036385999,0.432337598,0.505208333,0.78968811,1.295561051,1.436245251,2.356301662,0.844744328,0.660387303,0.785113146,0.824637954,0.565051466,0.693499335,0.637681508,0.601896164,0.616490868,6.242339045,2.71741642,2.784905833,10.40497641,3.63
RIP_180805_1044_0034,0.044671112,0.052577905,0.035884183,0.413311816,0.477430556,0.764314346,1.234123962,1.313665283,2.12115056,0.840229286,0.647402596,0.77429034,0.80492237,0.541065368,0.65259674,0.606108604,0.577213894,0.596522472,8.3175144,2.916912582,2.5773017,9.252328795,3.89
RIP_180805_1044_0035,0.045957919,0.053857605,0.035188188,0.40554364,0.489583333,0.699272728,1.246042365,1.232468183,2.196149668,0.840319278,0.639920358,0.765531306,0.79642188,0.543039879,0.634243791,0.593045923,0.566870938,0.588037292,9.778686091,3.016212627,2.496276171,8.824238482,3.37
RIP_180805_1044_0036,0.050076114,0.061640558,0.036226828,0.449251953,0.407986111,0.789838028,1.298648098,1.160074604,1.907389393,0.850758347,0.642244831,0.758694612,0.799426,0.503758871,0.675192547,0.635859297,0.599166358,0.605428252,4.426363478,2.326981722,2.524387079,8.971382126,3.26
RIP_180805_1044_0037,0.04422765,0.05673306,0.035044017,0.439228784,0.46875,0.687959862,1.217472359,1.160932267,2.054484606,0.852220001,0.654327444,0.771220063,0.817035632,0.542360453,0.684926556,0.639005252,0.602468681,0.613873935,5.409935773,2.561235118,2.701299483,9.93109016,2.95
RIP_180805_1044_0038,0.038356009,0.052983624,0.037323468,0.452540186,0.439236111,0.615166626,1.143176618,0.972732227,1.807648027,0.847616912,0.667283614,0.790381291,0.843730673,0.538826146,0.738164514,0.670376833,0.626984207,0.63632908,5.062087353,2.552848661,3.018435953,11.79841695,3.52
RIP_180805_1044_0039,0.04053089,0.053833521,0.03539093,0.46085625,0.498263889,0.751750336,1.299936876,1.348452165,2.331761772,0.857365718,0.675595052,0.790811772,0.838324972,0.568227894,0.730436799,0.67440659,0.629614677,0.635520915,4.50999879,2.421746464,2.948532566,11.37049424,3.39
RIP_180805_1044_0040,0.039782497,0.054436331,0.03580546,0.466687744,0.465277778,0.784565353,1.303883328,1.314146967,2.184004575,0.857488781,0.675931029,0.791081112,0.842902925,0.552600667,0.742784025,0.683194551,0.636241237,0.640546601,4.319005076,2.38472793,3.0075199,11.7309818,3.48
RIP_180805_1044_0041,0.040458102,0.054271759,0.036017313,0.466367578,0.505208333,0.771352386,1.267012775,1.402897153,2.304379484,0.856614666,0.675602288,0.791518792,0.84034707,0.572987843,0.73994704,0.681033673,0.634533093,0.638711867,4.294230708,2.373983321,2.974303222,11.5271738,3.8
